frequency_cyc_px,orientation_deg,mag_error,phase_error,snr_or_severity
2.50000000000000000e-01,150.000000,-1.57027459543984316e+00,-3.14135127284258608e+00,30 dB
1.56250000000000000e-02,155.000000,-6.90345487001128855e-04,5.28903741736641564e-06,30 dB
3.12500000000000000e-02,155.000000,-1.84327005931143040e-02,-9.74456146747293417e-05,30 dB
6.25000000000000000e-02,155.000000,-2.81124788002266646e-01,3.70790111468011219e-05,30 dB
1.25000000000000000e-01,155.000000,-7.59384874350407690e-01,-1.02938397965601780e-05,30 dB
2.50000000000000000e-01,155.000000,-1.57001963134839917e+00,-3.14141553131597284e+00,30 dB
1.56250000000000000e-02,160.000000,-6.56160795510229988e-04,3.10036431713456295e-04,30 dB
3.12500000000000000e-02,160.000000,-1.81278311105204648e-02,1.19079697020296749e-04,30 dB
6.25000000000000000e-02,160.000000,-2.78517380698149020e-01,-9.38808328205809062e-05,30 dB
1.25000000000000000e-01,160.000000,-7.59918973171427314e-01,6.96560348307784238e-05,30 dB
2.50000000000000000e-01,160.000000,-1.56589485373745396e+00,-3.14149445799768579e+00,30 dB
1.56250000000000000e-02,165.000000,-6.64051879129851086e-04,-2.73069402227932301e-05,30 dB
3.12500000000000000e-02,165.000000,-1.78384680940975315e-02,8.75277103329352713e-06,30 dB
6.25000000000000000e-02,165.000000,-2.76037802575249458e-01,-4.69913549947520437e-05,30 dB
1.25000000000000000e-01,165.000000,-7.60812876729794585e-01,8.99749148581818758e-05,30 dB
2.50000000000000000e-01,165.000000,-1.56495616039926166e+00,-3.14148576995636208e+00,30 dB
1.56250000000000000e-02,170.000000,-7.11038148944811987e-04,6.55238855395978703e-05,30 dB
3.12500000000000000e-02,170.000000,-1.76848103310800753e-02,1.66976571740029556e-04,30 dB
6.25000000000000000e-02,170.000000,-2.74054062293190070e-01,-4.59535059054161366e-05,30 dB
1.25000000000000000e-01,170.000000,-7.61908568848784884e-01,1.18760445170451590e-04,30 dB
2.50000000000000000e-01,170.000000,-1.56531957763718532e+00,-3.14155751152193030e+00,30 dB
1.56250000000000000e-02,175.000000,-6.62273743410476956e-04,-1.71001055774055999e-04,30 dB
3.12500000000000000e-02,175.000000,-1.74796632104424754e-02,6.38711364908672863e-05,30 dB
6.25000000000000000e-02,175.000000,-2.72744499924095440e-01,-1.53750009946218569e-04,30 dB
1.25000000000000000e-01,175.000000,-7.62779765186249903e-01,-7.55635713272084786e-05,30 dB
2.50000000000000000e-01,175.000000,-1.56396726142600806e+00,3.14152695621475964e+00,30 dB
1.56250000000000000e-02,0.000000,-8.50064019526877712e-04,1.22385703507532639e-04,20 dB
3.12500000000000000e-02,0.000000,-1.71723961954111937e-02,9.12540576645248791e-05,20 dB
6.25000000000000000e-02,0.000000,-2.72033986797436511e-01,8.46738247624934104e-04,20 dB
1.25000000000000000e-01,0.000000,-7.63094078245117657e-01,1.31413588036188855e-03,20 dB
2.50000000000000000e-01,0.000000,-1.56313844058427809e+00,-3.14151198871255488e+00,20 dB
1.56250000000000000e-02,5.000000,-6.07597825340491782e-04,-2.53695644607532245e-04,20 dB
3.12500000000000000e-02,5.000000,-1.74661036892485855e-02,-5.52285492974036174e-05,20 dB
6.25000000000000000e-02,5.000000,-2.72700603990909451e-01,-5.55943306497219680e-05,20 dB
1.25000000000000000e-01,5.000000,-7.62787543103359611e-01,-2.00734394768087299e-04,20 dB
2.50000000000000000e-01,5.000000,-1.56397073834151690e+00,-3.14151940790316608e+00,20 dB
1.56250000000000000e-02,10.000000,-6.58734912925160176e-04,6.99938880077688452e-05,20 dB
3.12500000000000000e-02,10.000000,-1.77117809117094960e-02,4.02589994292767983e-05,20 dB
6.25000000000000000e-02,10.000000,-2.74029566491738041e-01,5.13795553767515401e-04,20 dB
1.25000000000000000e-01,10.000000,-7.61909453995668229e-01,2.45617000560471865e-06,20 dB
2.50000000000000000e-01,10.000000,-1.56531794690517767e+00,-3.14155557712409239e+00,20 dB
1.56250000000000000e-02,15.000000,-6.49077940495484951e-04,1.96409857627699580e-04,20 dB
3.12500000000000000e-02,15.000000,-1.78945069270596280e-02,-1.37513272502332029e-04,20 dB
6.25000000000000000e-02,15.000000,-2.76065198531718625e-01,-5.92059491258289938e-04,20 dB
1.25000000000000000e-01,15.000000,-7.60816364201160944e-01,-9.41313038653746048e-05,20 dB
2.50000000000000000e-01,15.000000,-1.56495612540175100e+00,-3.14140588202667193e+00,20 dB
1.56250000000000000e-02,20.000000,-6.60527516719536245e-04,-3.87364955827251833e-05,20 dB
3.12500000000000000e-02,20.000000,-1.81658796626918140e-02,-3.55234258142544945e-06,20 dB
6.25000000000000000e-02,20.000000,-2.78551228307797827e-01,-4.55845152439238177e-04,20 dB
1.25000000000000000e-01,20.000000,-7.59917882812745638e-01,-1.56234245847208797e-04,20 dB
2.50000000000000000e-01,20.000000,-1.56589455883563233e+00,3.14135993839399674e+00,20 dB
1.56250000000000000e-02,25.000000,-7.10079473322300370e-04,1.40533267376508064e-04,20 dB
3.12500000000000000e-02,25.000000,-1.84125787921903261e-02,3.00239948749503327e-04,20 dB
6.25000000000000000e-02,25.000000,-2.81175773842142207e-01,1.76477497220606239e-04,20 dB
1.25000000000000000e-01,25.000000,-7.59378369165273126e-01,4.07163820459466308e-04,20 dB
2.50000000000000000e-01,25.000000,-1.57002049931305243e+00,3.14137176859253486e+00,20 dB
1.56250000000000000e-02,30.000000,-6.90126535803053942e-04,1.57616922004777393e-04,20 dB
3.12500000000000000e-02,30.000000,-1.86822200382709969e-02,-2.24962060935141039e-04,20 dB
6.25000000000000000e-02,30.000000,-2.83631332038636830e-01,1.56062491656339120e-04,20 dB
1.25000000000000000e-01,30.000000,-7.58866609419538762e-01,-4.42811685816835165e-04,20 dB
2.50000000000000000e-01,30.000000,-1.57027477011866035e+00,-3.14009921343235732e+00,20 dB
1.56250000000000000e-02,35.000000,-6.68675115000891274e-04,-9.68770752143299774e-05,20 dB
3.12500000000000000e-02,35.000000,-1.88618140698845194e-02,7.90316279530856036e-05,20 dB
6.25000000000000000e-02,35.000000,-2.85543463017808918e-01,2.99211310859970325e-04,20 dB
1.25000000000000000e-01,35.000000,-7.58057090514960175e-01,-2.58291597511117743e-04,20 dB
2.50000000000000000e-01,35.000000,-1.56757409044938445e+00,-3.14129060218373102e+00,20 dB
1.56250000000000000e-02,40.000000,-7.05963974228202007e-04,2.98195955371838295e-04,20 dB
3.12500000000000000e-02,40.000000,-1.89854137361291364e-02,-3.97861631448392927e-04,20 dB
6.25000000000000000e-02,40.000000,-2.86882282636235109e-01,-1.24294840891270297e-04,20 dB
1.25000000000000000e-01,40.000000,-7.57142880723809975e-01,-1.15722107340232583e-04,20 dB
2.50000000000000000e-01,40.000000,-1.56974694389352765e+00,-3.14120739466740684e+00,20 dB
1.56250000000000000e-02,45.000000,-7.33111999153768235e-04,1.02307415764890663e-04,20 dB
3.12500000000000000e-02,45.000000,-1.91073437588158423e-02,5.65240418729739957e-04,20 dB
